camera,status,num_composition,num_compostition_camera,last_time_check_on_camera,last_lat_on_camera,last_lon_on_camera,vendor
tv_ngpt_tram_vitaz_31114_3,+,31114,3,2023-02-27 09:11:14.996000,55.82386,37.63836,tv
tv_ngpt_tram_vitaz_31114_4,+,31114,4,,,,
tv_ngpt_tram_vitaz_31114_5,+,31114,5,,,,
tv_ngpt_tram_vitaz_31114_6,+,31114,6,,,,
tv_ngpt_tram_vitaz_31115_1,+,31115,1,2023-02-27 09:22:07.622000,55.87438,37.6371,tv
tv_ngpt_tram_vitaz_31115_2,+,31115,2,2023-02-27 09:15:39.384000,55.87031999999999,37.659505,tv
tv_ngpt_tram_vitaz_31115_3,+,31115,3,2023-02-27 09:21:08.236000,55.871725,37.63790166666667,tv
tv_ngpt_tram_vitaz_31115_4,+,31115,4,2023-02-27 09:22:06.549000,55.87438,37.6371,tv
tv_ngpt_tram_vitaz_31115_5,+,31115,5,2023-02-27 09:12:32.866000,55.86469,37.661746666666666,tv
tv_ngpt_tram_vitaz_31115_6,+,31115,6,2023-02-27 09:21:15.043000,55.871725,37.63790166666667,tv
tv_ngpt_tram_vitaz_31116_1,+,31116,1,,,,
tv_ngpt_tram_vitaz_31116_2,+,31116,2,,,,
tv_ngpt_tram_vitaz_31116_3,+,31116,3,,,,
tv_ngpt_tram_vitaz_31116_4,+,31116,4,,,,
tv_ngpt_tram_vitaz_31116_5,+,31116,5,,,,
tv_ngpt_tram_vitaz_31116_6,+,31116,6,,,,
tv_ngpt_tram_vitaz_31117_1,+,31117,1,2023-02-27 09:24:50.660000,55.84307333333333,37.66534333333333,tv
tv_ngpt_tram_vitaz_31117_2,+,31117,2,2023-02-27 09:28:37.369000,55.83271166666667,37.65281333333333,tv
tv_ngpt_tram_vitaz_31117_3,+,31117,3,2023-02-27 09:27:10.446000,55.836936666666666,37.657963333333335,tv
tv_ngpt_tram_vitaz_31117_4,+,31117,4,2023-02-27 09:27:10.389000,55.836936666666666,37.657963333333335,tv
tv_ngpt_tram_vitaz_31117_5,+,31117,5,2023-02-27 09:27:07.956000,55.836936666666666,37.657963333333335,tv
tv_ngpt_tram_vitaz_31117_6,+,31117,6,2023-02-27 09:27:08.223000,55.836936666666666,37.657963333333335,tv
tv_ngpt_tram_vitaz_31118_1,+,31118,1,2023-02-27 09:18:50.011000,55.84304,37.665288333333336,tv
tv_ngpt_tram_vitaz_31118_2,+,31118,2,2023-02-27 09:21:16.217000,55.836940000000006,37.65786333333333,tv
tv_ngpt_tram_vitaz_31118_3,+,31118,3,2023-02-27 09:26:25.874000,55.82730333333334,37.64710333333333,tv
tv_ngpt_tram_vitaz_31118_4,+,31118,4,2023-02-27 09:23:00.855000,55.83274333333334,37.65275333333333,tv
tv_ngpt_tram_vitaz_31118_5,+,31118,5,2023-02-27 09:13:27.765000,55.85447333333333,37.66516333333333,tv
tv_ngpt_tram_vitaz_31118_6,+,31118,6,2023-02-27 09:22:59.933000,55.83274333333334,37.65275333333333,tv
tv_ngpt_tram_vitaz_31119_1,+,31119,1,,,,
tv_ngpt_tram_vitaz_31119_2,+,31119,2,,,,
tv_ngpt_tram_vitaz_31119_3,+,31119,3,,,,
tv_ngpt_tram_vitaz_31119_4,+,31119,4,,,,
tv_ngpt_tram_vitaz_31119_5,+,31119,5,,,,
tv_ngpt_tram_vitaz_31119_6,+,31119,6,,,,
tv_ngpt_tram_vitaz_31120_1,+,31120,1,2023-02-27 01:41:32.772000,55.832917,37.644864,tv
tv_ngpt_tram_vitaz_31120_2,+,31120,2,2023-02-27 00:33:35.933000,55.821774000000005,37.66206,tv
tv_ngpt_tram_vitaz_31120_3,+,31120,3,2023-02-27 00:04:09.738000,55.776278000000005,37.676102,tv
tv_ngpt_tram_vitaz_31120_4,+,31120,4,2023-02-27 00:14:42.201000,55.788727,37.681011,tv
tv_ngpt_tram_vitaz_31120_5,+,31120,5,2023-02-26 21:12:45.139000,55.77227200000001,37.678553,tv
tv_ngpt_tram_vitaz_31120_6,+,31120,6,2023-02-27 00:48:44.328000,55.83229800000001,37.646305,tv
tv_ngpt_tram_vitaz_31121_1,+,31121,1,2023-02-27 09:28:54.340000,55.85285666666667,37.66778833333333,tv
tv_ngpt_tram_vitaz_31121_2,+,31121,2,2023-02-27 09:28:46.914000,55.85322166666666,37.667175,tv
tv_ngpt_tram_vitaz_31121_3,+,31121,3,2023-02-27 09:23:59.776000,55.864255,37.66148333333333,tv
tv_ngpt_tram_vitaz_31121_4,+,31121,4,2023-02-27 09:22:06.722000,55.868155,37.66348,tv
tv_ngpt_tram_vitaz_31121_5,+,31121,5,2023-02-27 09:28:39.817000,55.853425,37.66686333333334,tv
tv_ngpt_tram_vitaz_31121_6,+,31121,6,2023-02-27 09:26:31.616000,55.85720166666667,37.66142166666667,tv
tv_ngpt_tram_vitaz_31122_1,+,31122,1,2023-02-25 15:39:52.078000,55.818315,37.716085,tv
tv_ngpt_tram_vitaz_31122_2,+,31122,2,2023-02-25 15:39:51.180000,55.818315,37.716085,tv
tv_ngpt_tram_vitaz_31122_3,+,31122,3,2023-02-22 19:16:38.614000,55.80588333333333,37.69167166666667,tv
tv_ngpt_tram_vitaz_31122_4,+,31122,4,2023-02-22 19:00:58.736000,55.82709666666666,37.64656166666667,tv
tv_ngpt_tram_vitaz_31122_5,+,31122,5,2023-02-22 19:06:51.878000,55.82190000000001,37.66174,tv
tv_ngpt_tram_vitaz_31122_6,+,31122,6,2023-02-22 19:15:37.075000,55.80876666666666,37.687835,tv
tv_ngpt_tram_vitaz_31123_1,+,31123,1,2023-02-27 03:22:10.857000,55.83292166666667,37.644705,tv
tv_ngpt_tram_vitaz_31123_2,+,31123,2,2023-02-27 00:54:13.247000,55.79709166666667,37.714735000000005,tv
tv_ngpt_tram_vitaz_31123_3,+,31123,3,2023-02-27 01:19:44.016000,55.82377,37.638308333333335,tv
tv_ngpt_tram_vitaz_31123_4,+,31123,4,2023-02-27 00:54:17.320000,55.79709166666667,37.714735000000005,tv
tv_ngpt_tram_vitaz_31123_5,+,31123,5,2023-02-27 00:54:27.421000,55.79709166666667,37.714735000000005,tv
tv_ngpt_tram_vitaz_31123_6,+,31123,6,2023-02-27 00:59:43.524000,55.80683333333333,37.70642833333333,tv
tv_ngpt_tram_vitaz_31124_1,+,31124,1,2023-02-15 05:18:50.439000,55.8326,37.64439,tv
